"subject","condition_num","time_bin","condition","fix","total_fix"
"11795382",0.5,700,"cohort",1,66
"11795382",0.5,800,"cohort",4,50
"11795382",0.5,900,"cohort",3,32
"11795382",0.5,1000,"cohort",3,18
"11795382",0.5,1100,"cohort",0,8
"11795382",0.5,1200,"cohort",0,6
"11795382",0.5,1300,"cohort",0,6
"11795382",0.5,1400,"cohort",0,3
"11795385",-0.5,-100,"unrelated",18,77
"11795385",-0.5,0,"unrelated",21,76
"11795385",-0.5,100,"unrelated",22,87
"11795385",-0.5,200,"unrelated",18,93
"11795385",-0.5,300,"unrelated",21,92
"11795385",-0.5,400,"unrelated",16,90
"11795385",-0.5,500,"unrelated",18,97
"11795385",-0.5,600,"unrelated",16,77
"11795385",-0.5,700,"unrelated",5,65
"11795385",-0.5,800,"unrelated",2,49
"11795385",-0.5,900,"unrelated",1,32
"11795385",-0.5,1000,"unrelated",3,29
"11795385",-0.5,1100,"unrelated",2,21
"11795385",-0.5,1200,"unrelated",5,17
"11795385",-0.5,1300,"unrelated",6,16
"11795385",-0.5,1400,"unrelated",4,12
"11795385",-0.5,1500,"unrelated",2,12
"11795385",-0.5,1600,"unrelated",3,13
"11795385",-0.5,1700,"unrelated",0,11
"11795385",-0.5,1800,"unrelated",0,5
"11795385",-0.5,1900,"unrelated",0,4
"11795385",0.5,-100,"cohort",22,77
"11795385",0.5,0,"cohort",23,76
"11795385",0.5,100,"cohort",29,87
"11795385",0.5,200,"cohort",33,93
"11795385",0.5,300,"cohort",24,92
"11795385",0.5,400,"cohort",24,90
"11795385",0.5,500,"cohort",19,97
"11795385",0.5,600,"cohort",13,77
"11795385",0.5,700,"cohort",5,65
"11795385",0.5,800,"cohort",5,49
"11795385",0.5,900,"cohort",4,32
"11795385",0.5,1000,"cohort",2,29
"11795385",0.5,1100,"cohort",1,21
"11795385",0.5,1200,"cohort",0,17
"11795385",0.5,1300,"cohort",1,16
"11795385",0.5,1400,"cohort",3,12
"11795385",0.5,1500,"cohort",3,12
"11795385",0.5,1600,"cohort",1,13
"11795385",0.5,1700,"cohort",2,11
"11795385",0.5,1800,"cohort",0,5
"11795385",0.5,1900,"cohort",1,4
"11795386",-0.5,-100,"unrelated",11,45
"11795386",-0.5,0,"unrelated",9,50
"11795386",-0.5,100,"unrelated",7,51
"11795386",-0.5,200,"unrelated",7,47
"11795386",-0.5,300,"unrelated",7,43
"11795386",-0.5,400,"unrelated",8,49
"11795386",-0.5,500,"unrelated",5,39
"11795386",-0.5,600,"unrelated",7,43
"11795386",-0.5,700,"unrelated",4,34
"11795386",-0.5,800,"unrelated",5,34
"11795386",-0.5,900,"unrelated",1,26
"11795386",-0.5,1000,"unrelated",1,25
"11795386",-0.5,1100,"unrelated",1,23
"11795386",-0.5,1200,"unrelated",5,22
"11795386",-0.5,1300,"unrelated",4,20
"11795386",-0.5,1400,"unrelated",5,16
"11795386",-0.5,1500,"unrelated",3,10
"11795386",-0.5,1600,"unrelated",2,13
"11795386",-0.5,1700,"unrelated",0,9
"11795386",-0.5,1800,"unrelated",0,6
"11795386",-0.5,1900,"unrelated",0,6
"11795386",0.5,-100,"cohort",19,45
